day,meal,dish,calories,cost,score
Понедельник,завтрак,Завтрак 10,438,136,91
Понедельник,обед,Обед 05,725,146,99
Понедельник,ужин,Ужин 12,659,122,100
Вторник,завтрак,Завтрак 01,549,150,92
Вторник,обед,Обед 05,725,146,99
Вторник,ужин,Ужин 10,708,137,99
Среда,завтрак,Завтрак 06,448,104,85
Среда,обед,Обед 02,846,249,90
Среда,ужин,Ужин 12,659,122,100
Четверг,завтрак,Завтрак 12,516,104,80
Четверг,обед,Обед 11,764,172,87
Четверг,ужин,Ужин 10,708,137,99
Пятница,завтрак,Завтрак 01,549,150,92
Пятница,обед,Обед 03,690,215,94
Пятница,ужин,Ужин 05,743,144,95
Суббота,завтрак,Завтрак 05,494,140,93
Суббота,обед,Обед 12,812,182,81
Суббота,ужин,Ужин 01,596,180,91
Воскресенье,завтрак,Завтрак 05,494,140,93
Воскресенье,обед,Обед 03,690,215,94
Воскресенье,ужин,Ужин 04,650,175,82
